Plate,sample_well,Name,EGF1a,Ta54227,VRN1,VRN2,VRN3,VRN1_TA,VRN2_TA,VRN3_TA,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,TaNorm
GEP2,G3,BS81,21.595,23.83,24.4433333333333,NaN,24.85,0.653684623601051,0,0.493116352246678,3,G,3,81,300081,2014-03-25,None,Batten Spr,16,0.989761092150171
GEP2,G5,CRWT151,29.59,30.795,NaN,NaN,NaN,0,0,0,5,G,3,151,300151,2014-04-01,None,CRWT153,16,0.989761092150171
GEP2,G7,SCN310,23.23,25.35,25.57,NaN,26.54,0.858565436437754,0,0.438302860658018,7,G,3,310,300310,2014-04-09,None,Saracen,16,0.989761092150171
GEP2,G9,CRWT27,26.62,27.425,NaN,33.665,NaN,0,0.0132303955056644,0,9,G,3,27,300027,2014-04-23,None,CRWT153,16,0.989761092150171
GEP2,H1,SCN226,21.2166666666667,23.4333333333333,26.38,32.4533333333333,NaN,0.129707457394968,0.00192623575096359,0,1,H,3,226,300226,2014-03-11,None,Saracen,16,0.989761092150171
GEP2,H10,OT210,21.8433333333333,23.66,24.845,NaN,26.87,0.439824537961218,0,0.108067153913483,10,H,3,210,300210,2014-05-16,Full,Otane,16,0.989761092150171
GEP2,H11,SCN50,24.635,26.55,28.33,NaN,33.245,0.291183396617114,0,0.00965170810255411,11,H,3,50,300050,2014-05-16,Full,Saracen,16,0.989761092150171
GEP2,H12,CRWT195,22.155,24.455,31.55,NaN,NaN,0.00731462693308198,0,0,12,H,3,195,300195,2014-05-16,None,CRWT153,16,0.989761092150171
GEP2,H3,AMK147,27.395,28.69,NaN,NaN,NaN,0,0,0,3,H,3,147,300147,2014-03-25,None,Amarok,16,0.989761092150171
GEP2,H6,CRWT42,31.405,NaN,NaN,NaN,NaN,0,0,0,6,H,3,42,300042,2014-04-09,None,CRWT153,16,0.989761092150171
GEP2,H7,CRWT271,32.6,NaN,NaN,NaN,NaN,0,0,0,7,H,3,271,300271,2014-04-09,None,CRWT153,16,0.989761092150171
GEP2,H8,BW61,24.625,26.43,NaN,33.605,NaN,0,0.00692005874298717,0,8,H,3,61,300061,2014-04-23,None,Batten Win,16,0.989761092150171
GEP2,H9,BW92,26.335,27.225,NaN,NaN,NaN,0,0,0,9,H,3,92,300092,2014-04-23,None,Batten Win,16,0.989761092150171
GEP5,A1,CRWT196,24.315,26.335,33.635,32.93,NaN,0.00634572184653307,0.010344444612464,0,1,A,3,196,300196,2014-05-16,None,CRWT153,16,0.977047799536745
GEP5,A10,CRWT316,22.7966666666667,24.56,27.83,29.24,NaN,0.103664943226805,0.0390103296531753,0,10,A,3,316,300316,2014-06-10,Full,CRWT153,16,0.977047799536745
