Plate,Col,Row,Experiment,Plot.ID.Old,Plot.IDNew,SampleDate,Vern,Cult,Pp,sample_well
GEP4,9,B,2,NA,200162,NA,96-2,Seracen,16,B9
GEP4,1,C,2,NA,200099,NA,52-3,Macro,16,C1
GEP4,10,C,2,NA,200171,NA,96-3,CRWT 153,16,C10
GEP4,11,C,2,NA,200179,NA,96-3,Macro,16,C11
GEP4,12,C,2,NA,NA,NA,NA,NA,NA,C12
GEP4,2,C,2,NA,200107,NA,52-3,Batten W,16,C2
GEP4,3,C,2,NA,200115,NA,52-3,Aspiring,16,C3
GEP4,4,C,2,NA,200123,NA,52-3,Consort,16,C4
GEP4,5,C,2,NA,200131,NA,72-3,Consort,16,C5
GEP4,6,C,2,NA,200139,NA,72-3,Batten W,16,C6
GEP4,7,C,2,NA,200147,NA,72-3,Amarok,16,C7
GEP4,8,C,2,NA,200155,NA,72-3,Aspiring,16,C8
GEP4,9,C,2,NA,200163,NA,96-3,Seracen,16,C9
GEP4,1,D,2,NA,200100,NA,52-4,Macro,16,D1
GEP4,10,D,2,NA,200172,NA,96-4,CRWT 153,16,D10
GEP4,11,D,2,NA,200180,NA,96-4,Macro,16,D11
GEP4,12,D,2,NA,NA,NA,NA,NA,NA,D12
GEP4,2,D,2,NA,200108,NA,52-4,Batten W,16,D2
GEP4,3,D,2,NA,200116,NA,52-4,Aspiring,16,D3
GEP4,4,D,2,NA,200124,NA,52-4,Consort,16,D4
GEP4,5,D,2,NA,200132,NA,72-4,Consort,16,D5
GEP4,6,D,2,NA,200140,NA,72-4,Batten W,16,D6
GEP4,7,D,2,NA,200148,NA,72-4,Amarok,16,D7
GEP4,8,D,2,NA,200156,NA,72-4,Aspiring,16,D8
GEP4,9,D,2,NA,200164,NA,96-4,Seracen,16,D9
GEP4,1,E,2,NA,200101,NA,52-1,Wakanui,16,E1
GEP4,10,E,2,NA,200173,NA,96-1,Aspiring,16,E10
GEP4,11,E,2,NA,200181,NA,96-1,Consort,16,E11
GEP4,12,E,2,NA,NA,NA,NA,NA,NA,E12
GEP4,2,E,2,NA,200109,NA,52-1,Amarok,16,E2
GEP4,3,E,2,NA,200117,NA,52-1,Seracen,16,E3
GEP4,4,E,2,NA,200125,NA,52-1,CRWT 153,16,E4
GEP4,5,E,2,NA,200133,NA,72-1,CRWT 153,16,E5
