"","Well","Sample_label","Sample_date","Ta","TaVRN2","VRN1","VRN3-3","deltaCT_VRN1","deltaCT_VRN2","deltaCT_VRN3"
"100","C7","BW",6,25.3820381164551,29.8113651275635,NA,NA,NA,4.4293270111084,NA
"101","C8","BS",9,25.3789005279541,31.9582347869873,28.2826728820801,32.0493431091309,2.90377235412598,6.5793342590332,3.67044258117676
"102","C8","BS",12,29.9522914886475,NA,32.0613784790039,NA,2.10908699035645,NA,NA
"103","C8","BW",3,25.6010074615479,29.8196411132812,NA,NA,NA,4.2186336517334,NA
"104","C8","BW",6,25.405345916748,29.9615497589111,NA,NA,NA,4.55620384216309,NA
"105","C9","BS",9,25.3482608795166,NA,28.2779922485352,31.6278953552246,2.92973136901855,NA,3.27963447570801
"106","C9","BS",12,29.6896553039551,NA,31.8932857513428,NA,2.2036304473877,NA,NA
"107","C9","BW",3,25.6225204467773,29.9514789581299,NA,NA,NA,4.32895851135254,NA
"108","C9","BW",6,25.4995670318604,29.5949020385742,NA,NA,NA,4.09533500671387,NA
"109","D1","BS",4,25.8544120788574,32.693229675293,26.9983806610107,31.6076641082764,1.14396858215332,6.83881759643555,2.75325202941895
"110","D1","BS",10,25.2379093170166,NA,28.463041305542,32.2112426757812,3.22513198852539,NA,3.97333335876465
"111","D1","BW",1,27.6730289459229,32.0841369628906,NA,NA,NA,4.41110801696777,NA
"112","D1","BW",7,24.8829803466797,29.0395355224609,NA,NA,NA,4.15655517578125,NA
"113","D2","BS",4,25.6597099304199,32.4504432678223,26.8776111602783,31.4779968261719,1.2179012298584,6.79073333740234,2.81828689575195
"114","D2","BS",10,25.2670936584473,32.9103889465332,28.2895660400391,32.893970489502,3.0224723815918,7.64329528808594,4.62687683105469
"115","D2","BW",1,27.7379493713379,32.0769882202148,NA,NA,NA,4.33903884887695,NA
"116","D2","BW",7,24.9634265899658,28.9778099060059,NA,NA,NA,4.01438331604004,NA
"117","D3","BS",4,25.704891204834,32.5703735351562,27.089147567749,NA,1.38425636291504,6.86548233032227,NA
"118","D3","BS",10,25.2463321685791,33.0590553283691,28.2452297210693,NA,2.99889755249023,7.81272315979004,NA
"119","D3","BW",1,27.4884052276611,NA,NA,NA,NA,NA,NA
"120","D3","BW",7,24.9087085723877,NA,NA,NA,NA,NA,NA
"121","D4","BS",2,25.3879013061523,32.1452865600586,26.6102085113525,29.9565277099609,1.2223072052002,6.75738525390625,1.56862640380859
"122","D4","BS",5,25.5398635864258,33.9346122741699,27.2521266937256,NA,1.7122631072998,8.39474868774414,NA
"123","D4","BS",8,25.0764446258545,NA,28.1899394989014,32.8973846435547,3.11349487304688,NA,4.8209400177002
"124","D4","BW",11,26.4574661254883,33.8176116943359,NA,NA,NA,7.36014556884766,NA
"125","D5","BS",2,25.157283782959,32.3373489379883,26.5856628417969,30.4472198486328,1.42837905883789,7.1800651550293,2.28993606567383
"126","D5","BS",5,25.4356479644775,33.9565391540527,27.1096324920654,33.2761421203613,1.67398452758789,8.5208911895752,4.84049415588379
"127","D5","BS",8,25.0954456329346,31.3157577514648,28.1412715911865,32.2318916320801,3.04582595825195,6.22031211853027,4.13644599914551
"128","D5","BW",11,26.3385543823242,NA,NA,NA,NA,NA,NA
"129","D6","BS",2,25.274621963501,31.9776363372803,26.5584335327148,30.6192779541016,1.28381156921387,6.7030143737793,2.34465599060059
"130","D6","BS",5,25.5556602478027,33.8405876159668,27.0386829376221,32.7947158813477,1.48302268981934,8.28492736816406,4.23905563354492
"131","D6","BS",8,25.1598510742188,31.6989479064941,28.2490711212158,32.5530395507812,3.08922004699707,6.53909683227539,4.3931884765625
"132","D6","BW",11,26.4634666442871,33.2015800476074,NA,NA,NA,6.73811340332031,NA
"133","D7","BS",3,25.9627914428711,33.5699157714844,27.3148059844971,30.1589012145996,1.35201454162598,7.60712432861328,1.19610977172852
"134","D7","BS",6,25.4395370483398,NA,26.8675689697266,30.2212600708008,1.42803192138672,NA,1.78172302246094
"135","D7","BW",9,25.0823783874512,30.096061706543,NA,NA,NA,5.0136833190918,NA
