"plate","Pot","Genotype","Time","EGF1a_mean","Ta54227_mean","VRN1_mean","VRN2_mean","VRN3_mean","EdeltaCT_VRN1","EdeltaCT_VRN2","EdeltaCT_VRN3","TdeltaCT_VRN1","TdeltaCT_VRN2","TdeltaCT_VRN3"
"2","48","OTE",6,22.8519357045492,24.2242520650228,25.2967211405436,32.7023181915283,25.8320388793945,0.183673393850372,0.0010832767014207,0.126735871089074,0.475504508266198,0.00280445057624896,0.32810129327164
"2","59","OTE",6,23.9559288024902,25.1106192270915,25.7974605560303,33.1863136291504,27.5751368204753,0.279025377399002,0.00166485837690596,0.0813785272698902,0.621212459571635,0.00370658316744165,0.181178341385613
"2","135","OTE",6,24.1171442667643,25.4984664916992,25.9716218312581,32.9532890319824,26.3847751617432,0.276532784551917,0.00218804061707854,0.207670630533184,0.720387303853006,0.00569999930898664,0.540996561625292
"2","177","OTE",6,24.6538972854614,26.0393810272217,26.5424242019653,33.8967971801758,27.4352582295736,0.270082690007026,0.00165047855098728,0.145454421385033,0.705616804781051,0.00431203273885121,0.380013558278442
"3","30","OTE",7,22.4767074584961,24.3458824157715,25.2959098815918,34.9189147949219,25.7896188100179,0.141688794989689,0.000179689367283891,0.100626950180806,0.517622607402272,0.00065644766632902,0.367613997502891
"3","73","OTE",7,24.1048669815063,25.0112660725911,25.9028809865316,33.6891632080078,25.3350429534912,0.287570181723976,0.00130268480827469,0.426265449204201,0.539010426694777,0.00244170202260716,0.798975471946995
"3","117","OTE",7,24.1673787434896,25.464542388916,26.4179458618164,34.1463832855224,26.5787836710612,0.210141481700755,0.000990878273561103,0.187972702392499,0.516412750503405,0.00243503648362215,0.461934024050995
"3","162","OTE",7,22.7737979888916,24.8380368550618,26.1197954813639,31.7226800918579,24.7950846354167,0.0983454766019192,0.00202356919438892,0.246338384834341,0.411293841143706,0.00846283505391085,1.03021983339166
"3","21","OTE",8,23.7778104146322,25.1222085952759,25.9379901885986,35.3153839111328,26.1956055959066,0.223728387241324,0.000336390947686244,0.187141939915009,0.568100629486206,0.00085417819120058,0.475198767487247
"3","82","OTE",8,24.1089623769125,25.3305581410726,26.1299330393474,35.6038265228271,23.6365725199381,0.246392344633956,0.000346498290260242,1.38740583474768,0.574598089738248,0.000808049681806818,3.23549314619352
"3","122","OTE",8,24.374153137207,25.0815404256185,26.9904416402181,33.8392588297526,28.0996500651042,0.163086751918823,0.001414878914288,0.0755985865986376,0.26629528421363,0.00231027706527466,0.123440726285685
"3","159","OTE",8,25.458943049113,25.9677639007568,27.348331451416,33.9239616394043,26.4053694407145,0.269921461929945,0.00282992867946237,0.518916245800273,0.384067674858349,0.00402666805434746,0.738359056540898
"3","8","OTE",9,24.6560039520263,25.7541723251342,27.3019638061524,35.53706741333,25.5140419006348,0.159766866171006,0.000530241253504518,0.551702357867327,0.342033257955923,0.00113515491531683,1.18109943197704
"3","81","OTE",9,23.9878253936768,24.8865203857422,26.889617284139,34.6046009063721,25.812946955363,0.133805387410571,0.000636842609822702,0.282217320528712,0.249463923979894,0.00118731584339344,0.526159981721497
"3","108","OTE",9,24.6612634658813,25.6546096801758,27.082176844279,35.7912673950195,25.8258285522461,0.186737893829344,0.000446205547577785,0.446098719987317,0.371757263613841,0.000888304724741235,0.888092052680431
